brand,model,condition,transmission,body_type,fuel_type,price,mileage_km,engine_cc,age,district,has_trim
12,E200,3,0,0,4,56500000,9000,1500,3,4,1
22,Premio,3,0,5,4,9750000,175000,1500,14,4,1
5,Vezel,0,0,4,2,17900000,60000,1500,3,4,1
3,Mira,0,0,2,4,6675000,0,660,1,6,1
5,Vezel,0,0,4,2,18900000,12000,1500,2,4,1
22,Land Cruiser Prado,3,3,4,0,35750000,147500,3000,11,6,1
14,Montero,3,3,4,0,26450000,142500,3200,10,6,1
15,Roox,0,0,2,2,8990000,0,660,2,4,1
5,Vezel,0,0,4,2,18950000,12000,1500,2,4,1
22,Raize,0,0,4,2,14300000,0,1200,1,4,1
22,Prius,3,0,5,2,9000000,170000,1800,14,14,0
22,Roomy,3,0,3,4,10250000,1500,1000,2,4,1
22,Vitz,3,0,2,4,6700000,61000,1000,10,12,0
22,Land Cruiser Prado,1,0,4,4,54700000,9000,2700,2,4,1
16,Compass,3,0,4,4,16950000,46000,1400,7,4,1
15,Serena,0,0,3,2,21300000,47,1400,1,4,1
5,Vezel,2,0,4,2,18850000,6000,1500,1,6,1
18,5008,3,0,4,4,15000000,75000,1200,7,6,1
12,GLB,2,0,4,4,35000000,9000,1330,2,6,1
20,Celerio,3,0,2,4,5290000,115000,1000,9,6,1
22,Vellfire,0,0,3,2,61970000,37,2500,1,4,1
22,Hilux,2,0,4,0,23700000,9000,2400,2,4,1
22,Passo,2,0,2,4,8250000,17000,1000,3,6,0
6,Accent,3,3,5,0,5000000,190000,1600,15,8,1
0,A1,3,0,2,4,8400000,87000,1000,11,4,0
22,Yaris Ativ,0,0,5,4,13890000,0,1200,1,4,1
22,Wigo,3,0,2,4,6150000,30000,1000,9,19,1
22,Roomy,2,0,3,4,10150000,12000,1000,4,6,0
22,Aqua,3,0,2,2,9875000,24000,1500,12,4,1
13,Panda,3,1,2,4,2450000,88500,1000,13,4,0
3,Mira,2,0,2,4,6250000,1700,660,2,4,0
20,Fronx,0,0,2,2,10850000,0,1000,1,4,1
8,Range Rover Sport,3,0,4,4,52500000,42000,2000,7,4,1
22,Axio,3,0,5,2,10200000,108000,1500,10,4,1
22,Carina,3,0,2,4,4550000,195000,1500,29,4,0
20,Celerio,3,2,2,4,5000000,124500,1000,11,6,0
8,Range Rover,3,0,4,2,68500000,33000,2000,7,4,1
22,Axio,3,0,5,2,9100000,142000,1499,12,6,1
16,Cruze,3,0,2,4,3750000,110900,1320,24,4,0
5,CRV,3,0,4,4,15850000,132000,1500,8,4,0
20,Wagon R ZX,0,0,2,2,8600000,107,660,1,7,1
5,Vezel,3,0,4,4,9100000,145411,1490,12,6,0
1,X1,3,0,5,4,21750000,34000,1500,6,6,1
7,Other Model,3,0,4,4,12500000,9750,1000,1,4,1
5,CRV,3,0,4,4,19500000,75000,1500,6,4,0
0,Q7,0,0,6,4,69590000,0,1984,2,4,1
15,Sunny,3,0,5,4,3950000,313000,1490,24,6,1
22,Land Cruiser Prado,2,0,4,4,51250000,16200,2700,3,4,1
5,Vezel,0,0,4,2,17850000,512,1500,1,6,1
22,Sprinter,3,0,5,4,3990000,179000,1300,27,4,0
22,Prius,3,0,2,2,10500000,167000,1800,11,5,1
22,Raize,0,0,4,4,11500000,0,1000,1,6,0
22,Hilux,3,1,4,0,10000000,148352,2500,15,6,0
22,Hilux,0,0,4,0,25900000,0,2800,1,4,1
22,Hilux,0,0,4,0,25900000,0,2800,1,4,1
0,Q3,3,3,4,4,13750000,94000,1400,10,4,1
22,Hilux,0,0,4,0,25900000,0,2800,1,4,1
12,CLA 200,3,0,5,4,23900000,40000,1322,7,4,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
22,Taisor,0,0,4,4,12500000,0,1000,1,4,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
20,Maruti,3,1,2,4,2150000,74000,800,21,12,0
22,Urban Cruiser,1,0,4,4,10990000,0,1000,1,4,1
0,Q2,3,3,2,4,13650000,55000,1000,8,4,1
22,Belta,3,1,5,4,6500000,100000,1290,18,4,0
22,Urban Cruiser,1,0,4,4,10990000,0,1000,1,4,1
22,Vitz,3,0,2,4,5300000,121000,1000,19,4,0
22,Axio,3,0,5,4,6400000,184000,1500,18,4,1
22,Urban Cruiser,1,0,4,4,10990000,0,1000,1,4,1
22,Roomy,2,0,2,4,8490000,18000,1000,4,4,1
22,Urban Cruiser,1,0,4,4,10990000,0,1000,1,4,1
1,530d,3,1,5,0,12800000,105942,3000,20,4,1
